Session ID: 1021a31b-4697-4093-8cc7-f781f93e8192
CHEF iQ Probe Data
Probe Name: Probe 2
Cook Name: Filet Mignon
Target temperature: 135 (deg F)
Remove from heat temperature: 115 (deg F)
Peak temperature: 145.22 (deg F)
Total cook time: 12m 49s
Resting time: 5m
Created at: 08/27/2026 5:19:00 PM


Date,Time,Internal Temperature (deg F),Ambient Temperature (deg F),Tip 1 (deg F),Tip 2 (deg F),Tip 3 (deg F),Tip 4 (deg F),Elapsed Time
08/27/2026,5:19:00 PM,82.94,250.52,111.2,93.2,82.94,81.68,7
08/27/2026,5:19:05 PM,84.92,251.06,112.82,95,84.92,83.66,11
08/27/2026,5:19:10 PM,86.18,254.48,113.72,96.26,86.18,84.92,17
08/27/2026,5:19:20 PM,87.98,257,114.98,98.06,87.98,86.54,22
08/27/2026,5:19:35 PM,91.76,263.66,117.86,101.48,91.76,90.32,37
08/27/2026,5:19:45 PM,94.82,265.1,120.2,104.54,94.82,93.56,52
08/27/2026,5:19:50 PM,95.72,264.74,120.92,105.26,95.72,94.28,56
08/27/2026,5:19:55 PM,95.72,264.74,120.92,105.26,95.72,94.28,59
08/27/2026,5:20:10 PM,99.14,275.9,123.26,108.32,99.14,97.88,74
08/27/2026,5:20:25 PM,101.84,290.84,125.24,110.84,101.84,100.94,89
08/27/2026,5:20:40 PM,105.44,303.44,127.76,113.9,105.44,105.08,104
08/27/2026,5:20:50 PM,106.88,309.2,128.66,115.16,106.88,106.7,113
08/27/2026,5:21:05 PM,109.22,323.24,130.46,117.32,109.22,109.58,128
08/27/2026,5:21:20 PM,111.2,324.32,132.44,119.84,112.28,113.54,143
08/27/2026,5:21:35 PM,114.44,316.04,133.7,121.64,114.44,115.88,158
08/27/2026,5:21:40 PM,115.16,312.62,134.06,122.36,115.16,116.78,162
08/27/2026,5:21:45 PM,116.06,314.6,134.78,123.08,116.06,117.5,168
08/27/2026,5:22:00 PM,117.86,321.44,135.86,124.7,117.86,119.48,183
08/27/2026,5:22:15 PM,120.38,330.44,137.66,126.68,120.38,122.54,198
08/27/2026,5:22:20 PM,121.28,335.12,138.38,127.4,121.28,123.44,203
08/27/2026,5:22:35 PM,122.9,335.84,139.46,129.02,122.9,125.78,218
08/27/2026,5:22:50 PM,124.7,333.14,140.54,130.64,124.7,127.76,233
08/27/2026,5:23:05 PM,126.86,344.12,141.8,132.26,126.86,130.28,248
08/27/2026,5:23:20 PM,128.84,355.46,143.24,133.88,128.84,132.98,263
08/27/2026,5:23:35 PM,130.82,355.82,144.32,135.5,130.82,135.32,278
08/27/2026,5:23:50 PM,131.72,356.36,144.86,136.22,131.72,136.58,293
08/27/2026,5:24:05 PM,134.24,346.82,146.48,138.38,134.24,139.28,308
08/27/2026,5:24:20 PM,135.5,336.02,147.2,139.46,135.5,140.54,323
08/27/2026,5:24:35 PM,137.3,314.6,148.1,140.9,137.3,141.98,338
08/27/2026,5:24:50 PM,138.56,303.44,152.96,141.98,138.56,143.24,353
08/27/2026,5:25:05 PM,139.82,294.8,151.52,143.24,139.82,144.68,368
08/27/2026,5:25:10 PM,140,294.08,151.52,143.42,140,144.68,373
08/27/2026,5:25:15 PM,140.36,290.12,151.52,143.6,140.36,145.04,378
08/27/2026,5:25:20 PM,140.72,282.56,150.8,143.78,140.72,145.4,383
08/27/2026,5:25:25 PM,140.72,282.56,150.8,143.78,140.72,145.4,387
08/27/2026,5:25:30 PM,141.44,274.28,149.9,144.14,141.44,145.76,394
