Session ID: a505d77b-f72e-41f5-91ae-ab0801343e61
CHEF iQ Probe Data
Probe Name: Probe 1
Cook Name: Filet Mignon
Target temperature: 135 (deg F)
Remove from heat temperature: 115 (deg F)
Peak temperature: 168.26 (deg F)
Total cook time: 17m 40s
Resting time: 5m
Created at: 08/27/2026 5:19:50 PM


Date,Time,Internal Temperature (deg F),Ambient Temperature (deg F),Tip 1 (deg F),Tip 2 (deg F),Tip 3 (deg F),Tip 4 (deg F),Elapsed Time
08/27/2026,5:19:50 PM,55.94,455.36,55.94,55.94,60.08,85.46,3
08/27/2026,5:19:55 PM,55.94,455.36,55.94,55.94,60.08,85.46,6
08/27/2026,5:20:10 PM,57.2,458.42,57.2,57.38,61.7,87.98,21
08/27/2026,5:20:25 PM,58.28,461.84,58.28,58.46,62.96,89.78,36
08/27/2026,5:20:40 PM,59.72,462.38,59.72,60.08,64.94,92.48,51
08/27/2026,5:20:50 PM,60.26,465.44,60.26,60.8,65.48,93.38,60
08/27/2026,5:21:05 PM,61.88,464.9,61.88,62.42,67.46,95.72,75
08/27/2026,5:21:20 PM,63.5,461.3,63.5,64.04,69.26,98.06,90
08/27/2026,5:21:35 PM,63.86,459.5,63.86,64.58,69.98,98.6,105
08/27/2026,5:21:40 PM,65.3,460.94,65.3,65.84,71.42,100.4,109
08/27/2026,5:21:45 PM,65.84,461.48,65.84,66.38,71.96,101.12,115
08/27/2026,5:22:00 PM,66.74,459.14,66.74,67.46,73.22,102.38,130
08/27/2026,5:22:15 PM,68.72,459.5,68.72,69.62,75.56,105.26,145
08/27/2026,5:22:20 PM,69.26,458.78,69.26,69.98,75.92,105.8,150
08/27/2026,5:22:35 PM,70.34,461.48,70.34,71.24,77.36,107.6,165
08/27/2026,5:22:50 PM,71.78,464.18,71.78,72.5,78.98,109.58,180
08/27/2026,5:23:05 PM,73.22,466.16,73.22,74.3,80.6,111.92,195
08/27/2026,5:23:20 PM,75.02,457.88,75.02,76.1,82.76,114.26,210
08/27/2026,5:23:35 PM,76.1,452.12,76.1,77.36,84.02,115.52,225
08/27/2026,5:23:50 PM,77.72,449.42,77.72,78.8,85.82,117.32,240
08/27/2026,5:24:05 PM,79.34,451.22,79.34,80.42,87.62,119.66,255
08/27/2026,5:24:20 PM,80.24,454.1,80.24,81.68,89.06,121.28,270
08/27/2026,5:24:35 PM,81.86,451.4,81.86,83.48,91.04,122.54,285
08/27/2026,5:24:50 PM,83.3,443.84,83.3,84.92,92.84,123.98,300
08/27/2026,5:25:05 PM,84.2,441.14,84.2,86,94.28,125.42,315
08/27/2026,5:25:10 PM,84.92,440.78,84.92,86.9,95.18,126.32,320
08/27/2026,5:25:15 PM,85.28,440.78,85.28,87.44,95.72,126.86,325
08/27/2026,5:25:20 PM,85.28,440.78,85.28,87.44,95.72,126.86,330
08/27/2026,5:25:25 PM,86.18,440.78,86.18,88.52,96.98,128.12,334
08/27/2026,5:25:30 PM,86.9,440.24,86.9,89.24,97.88,129.2,341
08/27/2026,5:25:35 PM,87.26,439.88,87.26,89.6,98.24,129.56,346
08/27/2026,5:25:40 PM,87.8,439.16,87.8,89.96,98.96,130.1,351
08/27/2026,5:25:45 PM,88.52,430.7,88.52,91.04,99.68,131.18,356
08/27/2026,5:25:50 PM,89.06,421.34,89.06,91.58,100.4,131.72,361
08/27/2026,5:25:55 PM,89.6,412.34,89.6,92.3,100.76,132.08,366
08/27/2026,5:26:00 PM,89.6,412.34,89.6,92.3,100.76,132.08,371
08/27/2026,5:26:05 PM,91.04,394.52,91.04,93.74,101.84,132.62,376
08/27/2026,5:26:10 PM,92.3,382.28,92.3,95,102.56,132.8,381
08/27/2026,5:26:15 PM,93.38,374.36,93.38,96.08,103.28,132.98,386
08/27/2026,5:26:20 PM,94.82,366.62,94.82,97.52,104.18,133.34,391
08/27/2026,5:26:25 PM,97.16,352.76,97.16,100.04,105.62,133.88,396
08/27/2026,5:26:30 PM,97.7,350.24,97.7,100.58,105.98,133.88,401
