Session ID: c9f607e8-f892-41d9-bff5-956536794a06
CHEF iQ Probe Data
Probe Name: Probe 3
Cook Name: Filet Mignon
Target temperature: 145 (deg F)
Remove from heat temperature: 130 (deg F)
Peak temperature: 131.54 (deg F)
Total cook time: 37m 2s
Resting time: 5m
Created at: 08/27/2026 5:18:20 PM


Date,Time,Internal Temperature (deg F),Ambient Temperature (deg F),Tip 1 (deg F),Tip 2 (deg F),Tip 3 (deg F),Tip 4 (deg F),Elapsed Time
08/27/2026,5:18:20 PM,48.92,246.38,48.92,49.28,51.08,61.52,2
08/27/2026,5:18:25 PM,48.92,246.38,48.92,49.28,51.08,61.52,6
08/27/2026,5:18:40 PM,50.54,251.6,50.54,51.08,53.06,64.22,21
08/27/2026,5:18:55 PM,52.88,254.12,52.88,53.24,55.4,67.1,36
08/27/2026,5:19:00 PM,54.14,261.5,54.14,54.5,56.66,68.72,44
08/27/2026,5:19:05 PM,55.22,266.18,55.22,55.4,57.74,69.98,48
08/27/2026,5:19:10 PM,55.94,267.08,55.94,56.3,58.64,71.06,54
08/27/2026,5:19:20 PM,56.84,268.34,56.84,57.02,59.36,71.96,59
08/27/2026,5:19:35 PM,58.64,267.98,58.64,59,61.34,74.3,74
08/27/2026,5:19:45 PM,61.52,276.98,61.52,61.52,64.22,77.36,89
08/27/2026,5:19:50 PM,62.24,278.6,62.24,62.24,64.94,78.26,93
08/27/2026,5:19:55 PM,62.24,278.6,62.24,62.24,64.94,78.26,96
08/27/2026,5:20:10 PM,64.76,280.04,64.76,64.76,67.46,80.96,111
08/27/2026,5:20:25 PM,66.74,282.02,66.92,66.74,69.62,83.3,126
08/27/2026,5:20:40 PM,69.44,285.08,69.62,69.44,72.32,86.18,141
08/27/2026,5:20:50 PM,70.7,293.72,70.88,70.7,73.58,87.62,150
08/27/2026,5:21:05 PM,72.5,284.54,72.68,72.5,75.56,89.6,165
08/27/2026,5:21:20 PM,74.48,276.08,74.66,74.48,77.36,91.58,180
08/27/2026,5:21:35 PM,76.28,279.32,76.46,76.28,79.16,93.56,195
08/27/2026,5:21:40 PM,77,278.6,77.18,77,79.88,94.1,199
08/27/2026,5:21:45 PM,77.54,277.16,77.72,77.54,80.6,94.82,205
08/27/2026,5:22:00 PM,79.7,269.06,79.7,79.7,82.76,96.98,220
08/27/2026,5:22:15 PM,81.5,265.1,81.5,81.5,84.56,98.78,235
08/27/2026,5:22:20 PM,82.22,264.92,82.22,82.22,85.1,99.32,240
08/27/2026,5:22:35 PM,83.48,280.22,83.48,83.48,86.54,100.76,255
08/27/2026,5:22:50 PM,85.28,301.82,85.28,85.28,88.34,102.74,270
08/27/2026,5:23:05 PM,87.08,302.54,87.08,87.08,90.32,104.9,285
08/27/2026,5:23:20 PM,88.16,309.02,88.16,88.16,91.4,106.16,300
08/27/2026,5:23:35 PM,90.14,290.84,90.14,90.32,93.56,108.32,315
08/27/2026,5:23:50 PM,91.76,282.2,91.76,92.12,95.36,109.94,330
08/27/2026,5:24:05 PM,93.2,280.22,93.2,93.56,96.8,111.38,345
08/27/2026,5:24:20 PM,94.28,282.92,94.28,94.82,98.06,112.46,360
08/27/2026,5:24:35 PM,95,279.86,95,96.26,99.86,114.08,375
08/27/2026,5:24:50 PM,93.74,274.82,93.74,96.98,101.12,115.7,390
08/27/2026,5:25:05 PM,98.6,273.56,98.6,99.86,103.64,117.86,405
08/27/2026,5:25:10 PM,98.78,273.92,98.78,100.04,103.82,117.86,410
08/27/2026,5:25:15 PM,100.58,272.84,100.58,101.3,104.54,118.22,415
08/27/2026,5:25:20 PM,101.84,271.04,101.84,102.2,105.26,118.58,420
08/27/2026,5:25:25 PM,101.84,271.04,101.84,102.2,105.26,118.58,424
08/27/2026,5:25:30 PM,103.82,269.96,104,103.82,106.34,119.3,431
08/27/2026,5:25:35 PM,103.82,269.96,104,103.82,106.34,119.3,436
08/27/2026,5:25:40 PM,104.9,269.6,105.08,104.9,107.06,119.84,441
08/27/2026,5:25:45 PM,104.9,269.6,105.98,105.8,107.78,120.38,446
08/27/2026,5:25:50 PM,106.16,270.32,106.52,106.16,108.14,120.56,451
08/27/2026,5:25:55 PM,106.88,269.06,107.24,106.88,108.68,120.92,456
08/27/2026,5:26:00 PM,106.88,268.52,107.24,106.88,108.68,120.92,461
08/27/2026,5:26:05 PM,107.96,269.96,108.32,107.96,109.58,121.64,466
08/27/2026,5:26:10 PM,107.96,269.96,108.32,107.96,109.58,121.64,471
08/27/2026,5:26:15 PM,108.68,265.64,109.04,108.68,110.12,122,476
08/27/2026,5:26:20 PM,109.4,265.1,109.76,109.4,110.66,122.36,481
08/27/2026,5:26:25 PM,109.4,265.1,109.76,109.4,110.66,122.36,486
08/27/2026,5:26:30 PM,110.12,264.92,110.66,110.12,111.38,122.72,491
08/27/2026,5:26:35 PM,110.66,264.92,111.2,110.66,111.74,123.08,496
08/27/2026,5:26:40 PM,110.84,265.64,111.56,110.84,112.1,123.44,501
08/27/2026,5:26:45 PM,111.38,259.7,111.38,111.56,112.64,123.98,505
08/27/2026,5:26:50 PM,111.38,255.38,111.38,111.92,113.18,124.16,511
08/27/2026,5:26:55 PM,111.56,251.06,111.56,112.1,113.54,124.52,516
08/27/2026,5:27:00 PM,111.56,249.8,111.56,112.28,113.54,124.52,521
