timestamp_utc,probe_name,probe_address,rssi_dbm,food_temperature_c,food_temperature_f,ambient_temperature_c,ambient_temperature_f,tip_1_temperature_c,tip_1_temperature_f,tip_2_temperature_c,tip_2_temperature_f,tip_3_temperature_c,tip_3_temperature_f,tip_4_temperature_c,tip_4_temperature_f,battery_percent
2026-08-28T19:44:57.744406+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.6,74.48,25.8,78.44,23.9,75.02,23.6,74.48,23.6,74.48,23.9,75.02,
2026-08-28T19:44:59.746723+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.6,74.48,25.8,78.44,23.9,75.02,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:01.753143+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.6,74.48,25.8,78.44,23.9,75.02,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:03.755725+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.6,74.48,25.8,78.44,23.9,75.02,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:05.759989+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-94,23.6,74.48,25.8,78.44,23.8,74.84,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:07.762263+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-94,23.6,74.48,25.8,78.44,23.8,74.84,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:09.766036+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-94,23.6,74.48,25.8,78.44,23.8,74.84,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:11.770201+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-94,23.6,74.48,25.8,78.44,23.8,74.84,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:13.778033+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-94,23.6,74.48,25.8,78.44,23.8,74.84,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:15.785767+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-94,23.6,74.48,25.8,78.44,23.8,74.84,23.6,74.48,23.6,74.48,24.0,75.2,
2026-08-28T19:45:17.789579+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-95,23.7,74.66,26.2,79.16,23.8,74.84,23.7,74.66,23.7,74.66,24.0,75.2,
2026-08-28T19:45:19.793271+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-95,23.7,74.66,26.2,79.16,23.8,74.84,23.7,74.66,23.7,74.66,24.0,75.2,
2026-08-28T19:45:21.798928+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-95,23.7,74.66,26.2,79.16,23.8,74.84,23.7,74.66,23.7,74.66,24.0,75.2,
2026-08-28T19:45:23.802656+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-95,23.7,74.66,26.2,79.16,23.8,74.84,23.7,74.66,23.7,74.66,24.0,75.2,
2026-08-28T19:45:25.808940+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-95,23.7,74.66,26.2,79.16,23.8,74.84,23.7,74.66,23.7,74.66,24.0,75.2,
2026-08-28T19:45:27.814243+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-95,23.7,74.66,26.2,79.16,23.8,74.84,23.7,74.66,23.7,74.66,24.0,75.2,
2026-08-28T19:45:29.821048+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.7,74.66,26.4,79.52,23.8,74.84,23.7,74.66,23.7,74.66,24.1,75.38,
2026-08-28T19:45:31.829339+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.7,74.66,26.4,79.52,23.8,74.84,23.7,74.66,23.7,74.66,24.1,75.38,
2026-08-28T19:45:33.835900+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.7,74.66,26.4,79.52,23.8,74.84,23.7,74.66,23.7,74.66,24.1,75.38,
2026-08-28T19:45:35.839291+00:00,outside on top,902B6F7B-D0F4-EC70-1C01-8D7DE6A68397,-96,23.7,74.66,26.4,79.52,23.8,74.84,23.7,74.66,23.7,74.66,24.1,75.38,
