timestamp_utc,probe_name,probe_address,rssi_dbm,food_temperature_c,food_temperature_f,ambient_temperature_c,ambient_temperature_f,tip_1_temperature_c,tip_1_temperature_f,tip_2_temperature_c,tip_2_temperature_f,tip_3_temperature_c,tip_3_temperature_f,tip_4_temperature_c,tip_4_temperature_f,battery_percent
2026-08-29T00:22:01.938174+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-77,29.3,84.74000000000001,31.3,88.34,29.3,84.74000000000001,29.5,85.1,29.5,85.1,30.1,86.18,100.0
2026-08-29T00:22:03.942301+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-68,29.3,84.74000000000001,31.3,88.34,29.3,84.74000000000001,29.5,85.1,29.4,84.92,30.0,86.0,100.0
2026-08-29T00:22:05.948951+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-68,29.3,84.74000000000001,31.3,88.34,29.3,84.74000000000001,29.4,84.92,29.4,84.92,30.0,86.0,100.0
2026-08-29T00:22:07.954669+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-67,29.3,84.74000000000001,31.1,87.98,29.3,84.74000000000001,29.4,84.92,29.3,84.74000000000001,30.0,86.0,100.0
2026-08-29T00:22:09.960933+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-75,29.2,84.56,31.4,88.52,29.2,84.56,29.4,84.92,29.3,84.74000000000001,29.9,85.82,100.0
2026-08-29T00:22:11.963003+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-68,29.2,84.56,31.4,88.52,29.2,84.56,29.4,84.92,29.3,84.74000000000001,29.9,85.82,100.0
2026-08-29T00:22:13.967630+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-73,29.1,84.38,31.1,87.98,29.1,84.38,29.3,84.74000000000001,29.3,84.74000000000001,29.8,85.64,100.0
2026-08-29T00:22:15.972784+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-73,29.1,84.38,31.1,87.98,29.1,84.38,29.3,84.74000000000001,29.3,84.74000000000001,29.8,85.64,100.0
2026-08-29T00:22:17.977304+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-75,29.1,84.38,31.3,88.34,29.1,84.38,29.3,84.74000000000001,29.2,84.56,29.8,85.64,100.0
2026-08-29T00:22:19.984865+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-75,29.1,84.38,31.3,88.34,29.1,84.38,29.3,84.74000000000001,29.2,84.56,29.8,85.64,100.0
2026-08-29T00:22:21.991685+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-65,29.1,84.38,31.3,88.34,29.1,84.38,29.3,84.74000000000001,29.2,84.56,29.8,85.64,100.0
2026-08-29T00:22:23.998354+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-66,29.0,84.2,30.9,87.62,29.0,84.2,29.1,84.38,29.1,84.38,29.7,85.46000000000001,100.0
2026-08-29T00:22:26.006922+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-66,29.0,84.2,30.9,87.62,29.0,84.2,29.1,84.38,29.1,84.38,29.7,85.46000000000001,100.0
2026-08-29T00:22:28.010531+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-66,29.0,84.2,30.9,87.62,29.0,84.2,29.1,84.38,29.1,84.38,29.7,85.46000000000001,100.0
2026-08-29T00:22:30.014166+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-66,29.0,84.2,30.9,87.62,29.0,84.2,29.1,84.38,29.1,84.38,29.7,85.46000000000001,100.0
2026-08-29T00:22:32.021734+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-86,28.8,83.84,30.7,87.25999999999999,28.8,83.84,29.0,84.2,28.9,84.02,29.5,85.1,100.0
2026-08-29T00:22:34.026106+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-86,28.8,83.84,30.7,87.25999999999999,28.8,83.84,29.0,84.2,28.9,84.02,29.5,85.1,100.0
2026-08-29T00:22:36.031123+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-86,28.8,83.84,30.7,87.25999999999999,28.8,83.84,29.0,84.2,28.9,84.02,29.5,85.1,100.0
2026-08-29T00:22:38.035671+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-66,28.8,83.84,30.7,87.25999999999999,28.8,83.84,29.0,84.2,28.9,84.02,29.5,85.1,100.0
2026-08-29T00:22:40.040820+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-64,28.7,83.66,30.6,87.08000000000001,28.7,83.66,28.8,83.84,28.8,83.84,29.4,84.92,100.0
2026-08-29T00:22:42.045300+00:00,inside in water 1,4CB13989-424F-31F7-E5C6-3C2FD749BFBE,-65,28.6,83.48,30.5,86.9,28.6,83.48,28.8,83.84,28.8,83.84,29.4,84.92,100.0
